case,#Var,Real,Int,Bool,#Con,Hard,Soft,H_Ratio,S_Ratio
0,20,5,1,14,21,6,15,28.57,71.43
1,10,0,0,10,18,11,7,61.11,38.89
10,10,0,0,10,18,11,7,61.11,38.89
11,35,3,1,31,46,12,34,26.09,73.91
12,11,0,0,11,19,8,11,42.11,57.89
13,16,0,0,16,27,11,16,40.74,59.26
14,10,0,0,10,18,11,7,61.11,38.89
15,16,0,0,16,24,11,13,45.83,54.17
16,10,0,0,10,21,11,10,52.38,47.62
17,5,0,0,5,15,10,5,66.67,33.33
18,72,1,3,68,89,23,66,25.84,74.16
19,85,0,0,85,101,30,71,29.7,70.3
2,44,12,1,31,50,19,31,38.0,62.0
20,41,0,0,41,40,13,27,32.5,67.5
21,53,0,3,50,63,17,46,26.98,73.02
22,17,0,0,17,25,8,17,32.0,68.0
23,9,0,0,9,15,6,9,40.0,60.0
24,26,2,1,23,39,13,26,33.33,66.67
25,23,0,1,22,28,8,20,28.57,71.43
26,85,0,4,81,98,22,76,22.45,77.55
27,16,0,0,16,17,11,6,64.71,35.29
28,56,0,0,56,69,15,54,21.74,78.26
29,55,0,0,55,76,21,55,27.63,72.37
3,18,5,1,12,17,10,7,58.82,41.18
30,16,0,0,16,24,11,13,45.83,54.17
31,16,0,0,16,24,11,13,45.83,54.17
32,11,0,0,11,19,8,11,42.11,57.89
33,59,8,7,44,59,16,43,27.12,72.88
34,14,0,0,14,23,9,14,39.13,60.87
35,22,0,1,21,30,10,20,33.33,66.67
36,114,0,0,114,120,52,68,43.33,56.67
37,138,0,0,138,77,64,13,83.12,16.88
38,10,0,0,10,18,11,7,61.11,38.89
39,7,0,0,7,15,8,7,53.33,46.67
4,63,0,0,63,63,28,35,44.44,55.56
40,37,1,0,36,38,17,21,44.74,55.26
41,16,0,0,16,24,11,13,45.83,54.17
42,35,6,0,29,53,21,32,39.62,60.38
43,99,6,11,82,51,28,23,54.9,45.1
44,11,0,0,11,12,8,4,66.67,33.33
45,94,0,6,88,112,48,64,42.86,57.14
46,21,0,0,21,27,7,20,25.93,74.07
47,71,0,1,70,89,18,71,20.22,79.78
48,116,0,5,111,128,24,104,18.75,81.25
49,85,3,0,82,89,14,75,15.73,84.27
5,16,0,0,16,24,11,13,45.83,54.17
50,10,0,0,10,18,11,7,61.11,38.89
51,53,0,0,53,69,16,53,23.19,76.81
52,16,0,0,16,24,11,13,45.83,54.17
53,10,0,0,10,18,11,7,61.11,38.89
54,22,0,0,22,29,7,22,24.14,75.86
55,16,0,0,16,27,11,16,40.74,59.26
56,16,0,0,16,24,11,13,45.83,54.17
57,61,0,2,59,53,17,36,32.08,67.92
58,85,1,5,79,101,17,84,16.83,83.17
59,31,2,1,28,37,8,29,21.62,78.38
6,61,0,0,61,75,15,60,20.0,80.0
60,61,15,4,42,81,22,59,27.16,72.84
61,25,3,1,21,26,17,9,65.38,34.62
62,35,0,0,35,44,10,34,22.73,77.27
63,35,3,1,31,45,13,32,28.89,71.11
64,57,0,0,57,33,16,17,48.48,51.52
65,48,0,0,48,55,14,41,25.45,74.55
66,19,0,0,19,28,9,19,32.14,67.86
67,72,4,0,68,78,11,67,14.1,85.9
68,35,4,0,31,38,10,28,26.32,73.68
69,35,4,0,31,44,10,34,22.73,77.27
7,58,1,2,55,74,18,56,24.32,75.68
70,18,0,0,18,25,7,18,28.0,72.0
71,14,0,0,14,22,9,13,40.91,59.09
72,10,0,0,10,18,11,7,61.11,38.89
73,10,0,0,10,18,11,7,61.11,38.89
74,21,0,0,21,30,9,21,30.0,70.0
75,41,3,2,36,56,18,38,32.14,67.86
76,97,0,0,97,105,14,91,13.33,86.67
77,11,0,0,11,19,8,11,42.11,57.89
78,36,3,1,32,37,17,20,45.95,54.05
79,61,0,4,57,36,10,26,27.78,72.22
8,37,1,0,36,44,38,6,86.36,13.64
80,57,1,0,56,72,16,56,22.22,77.78
81,26,5,1,20,35,9,26,25.71,74.29
82,38,1,6,31,50,14,36,28.0,72.0
83,24,0,0,24,38,14,24,36.84,63.16
84,16,0,0,16,24,11,13,45.83,54.17
85,20,0,0,20,27,8,19,29.63,70.37
86,126,4,3,119,139,26,113,18.71,81.29
9,16,0,0,16,24,11,13,45.83,54.17
